AgeInterval	Input	Low	High	Input	Low	High					
0	0	0	0	1.00000	1.00000	1.00000					
5	0	0	0	1.00000	1.00000	1.00000					
10	0	0	0	1.00000	1.00000	1.00000					
15	0	0	0	1.00000	1.00000	1.00000					
20	0	0	0	1.00000	1.00000	1.00000					
25	0	0	0	1.00000	1.00000	1.00000					
30	0	0	0	1.00000	1.00000	1.00000					
35	0.0005	0.0003	0.0008	0.99750	0.99833	0.99625					
40	0.0005	0.0003	0.0008	0.99500	0.99667	0.99250					
45	0.0008	0.0005	0.0012	0.99100	0.99400	0.98650					
50	0.0008	0.0005	0.0012	0.98700	0.99133	0.98050					
55	0.0008	0.0005	0.0012	0.98300	0.98867	0.97450					
60	0.0012	0.0008	0.0018	0.97700	0.98467	0.96550					
65	0.0012	0.0008	0.0018	0.97100	0.98067	0.95650					
70	0.0012	0.0008	0.0018	0.96500	0.97667	0.94750					
75	0.0012	0.0008	0.0018	0.95900	0.97267	0.93850					
80	0.0016	0.0011	0.0024	0.95100	0.96733	0.92650					
85	0.0016	0.0011	0.0024	0.94300	0.96200	0.91450					
90	0.0016	0.0011	0.0024	0.93500	0.95667	0.90250					
95	0.0016	0.0011	0.0024	0.92700	0.95133	0.89050					
100	0.0016	0.0011	0.0024	0.91900	0.94600	0.87850					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
