AgeInterval	Input	Low	High								
0	1	1	1								
5	0.9942	0.993968	0.994432								
10	0.9937	0.993448	0.993952								
15	0.9931	0.992824	0.993376								
20	0.9919	0.991576	0.992224								
25	0.9902	0.989808	0.990592								
30	0.9883	0.987832	0.988768								
35	0.9858	0.985232	0.986368								
40	0.9821	0.981384	0.982816								
45	0.9762	0.975248	0.977152								
50	0.9665	0.96516	0.96784								
55	0.9508	0.948832	0.952768								
60	0.9272	0.924288	0.930112								
65	0.8906	0.886224	0.894976								
70	0.8347	0.828088	0.841312								
75	0.7466	0.736464	0.756736								
80	0.6127	0.597208	0.628192								
85	0.4344	0.411776	0.457024								
90	0.2398	0.209392	0.270208								
95	0.0892	0.052768	0.125632								
100	0	0	0								
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
