Test	Input	Low	High	Input	Low	High	Input	Low	High		
1	0.95	0.6	1	0.98	0.6	1	0.001	0.0005	0.002		
2	0.5	0.25	1	0.95	0.475	1	0.002	0.001	0.004		
3	0.6	0.3	1	0.93	0.465	1	0.005	0.0025	0.01		
4	0.65	0.325	1	0.9	0.45	1	0.005	0.0025	0.01		
5	0.7	0.35	1	0.8	0.4	1	0.005	0.0025	0.01		
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
