"Preclinical"	"Clinical"	"CauseSpecificDeath"	"OtherCauseDeath"	"AllCauseDeath"
0	0	0	113	113
0	0	0	104	104
0	0	0	98	98
0	0	0	104	104
0	0	0	113	113
0	0	0	8	8
0	0	0	11	11
0	0	0	19	19
0	0	0	13	13
0	0	0	11	11
0	0	0	16	16
0	0	0	10	10
0	0	0	11	11
0	0	0	15	15
0	0	0	21	21
0	0	0	28	28
0	0	0	30	30
0	0	0	33	33
0	0	0	22	22
0	0	0	18	18
0	0	0	28	28
0	0	0	36	36
0	0	0	51	51
0	0	0	32	32
0	0	0	34	34
0	0	0	31	31
0	0	0	30	30
0	0	0	53	53
0	0	0	43	43
0	0	0	40	40
45	6	2	57	57
60	15	12	63	73
56	19	17	55	62
49	20	20	54	65
43	28	18	57	68
60	43	44	75	101
52	41	42	76	103
50	39	34	71	97
41	45	43	80	101
52	47	47	101	130
87	36	47	109	133
79	66	47	118	145
75	53	57	127	164
81	64	52	126	152
87	53	70	115	166
97	64	49	203	235
67	80	76	173	216
76	85	88	200	252
93	78	76	191	238
83	74	77	207	256
90	84	74	323	360
87	89	92	302	355
68	81	87	311	358
106	64	74	312	354
94	93	75	335	379
114	92	91	475	522
109	94	92	515	561
123	95	90	467	512
135	98	100	481	537
102	109	104	496	547
129	112	113	714	763
107	119	122	749	813
126	113	112	709	753
132	93	91	710	757
126	116	105	714	758
118	120	138	1128	1181
138	108	107	1092	1129
120	124	105	1089	1136
117	130	134	1118	1177
140	118	126	1144	1192
110	115	106	1835	1856
124	125	124	1773	1807
110	123	132	1789	1817
130	101	105	1718	1731
116	111	118	1709	1726
174	118	106	2617	2594
151	144	127	2683	2685
166	133	142	2700	2699
132	159	141	2665	2652
185	133	153	2696	2685
156	153	149	3628	3585
142	176	154	3550	3506
163	138	170	3573	3533
161	155	142	3650	3586
163	147	150	3544	3489
183	138	143	3938	3846
139	176	161	3893	3821
144	141	149	3912	3826
151	143	145	3899	3783
180	154	155	3874	3764
170	159	146	2989	2909
151	141	151	2940	2838
158	170	166	2957	2856
163	254	154	2977	2872
153	142	158	2955	2817
175	142	150	1784	1718
157	138	159	1799	1733
168	160	158	1806	1726
162	163	166	1785	1719
161	180	189	1744	1687
