"StrategyName"	"UD_ScreenCosts"	"UD_TriageCosts"	"UD_EarlyTreatmentCosts"	"UD_LateTreatmentCosts"	"D_ScreenCosts"	"D_TriageCosts"	"D_EarlyTreatmentCosts"	"D_LateTreatmentCosts"	"N_CancerDeaths"	"N_Overdiagnosed"	"N_ClinicalCases"
"NoScreening"	0	0	0	90400000	0	0	0	5049812	2676	0	4520
"25_25_1"	9902100	1933000	0	90400000	2924090.13	570814.9	0	5049812	2676	0	4520
"26_26_1"	9899000	2068000	0	90400000	2783598.8	581521.6	0	5049812	2676	0	4520
"27_27_1"	9896000	1976000	0	90400000	2650148.8	529172.8	0	5049812	2676	0	4520
"28_28_1"	9890700	1965000	0	90400000	2523117.57	501271.5	0	5049812	2676	0	4520
"29_29_1"	9886400	1962000	0	90400000	2401406.56	476569.8	0	5049812	2676	0	4520
"30_30_1"	9882400	1981000	0	90400000	2286787.36	458403.4	0	5049812	2676	0	4520
"31_31_1"	9876100	1991000	360000	89680000	2176692.44	438816.4	79344	4928098	2656	0	4520
"32_32_1"	9868300	2151000	770000	88860000	2071356.17	451494.9	161623	4798594	2642	0	4520
"33_33_1"	9860900	2158000	1150000	88100000	1971193.91	431384.2	229885	4693826	2622	0	4520
"34_34_1"	9853600	2098000	1450000	87500000	1876125.44	399459.2	276080	4619450	2607	0	4520
"35_35_1"	9845100	2117000	1590000	87240000	1784916.63	383812.1	288267	4592896	2600	1	4521
"36_36_1"	9833500	2086000	1690000	87020000	1698245.45	360252.2	291863	4585638	2598	0	4520
"37_37_1"	9821800	2138000	1840000	86740000	1614703.92	351487.2	302496	4570588	2593	1	4521
"38_38_1"	9810800	2092000	1860000	86700000	1536371.28	327607.2	291276	4590882	2595	1	4521
"39_39_1"	9798300	2171000	1880000	86660000	1460926.53	323696.1	280308	4613106	2592	1	4521
"40_40_1"	9783800	2231000	1910000	86600000	1389299.6	316802	271220	4631622	2593	1	4521
"41_41_1"	9769400	2238000	2390000	85640000	1321799.82	302801.4	323367	4541516	2573	1	4521
"42_42_1"	9751000	2203000	2490000	85480000	1255928.8	283746.4	320712	4554676	2565	3	4523
"43_43_1"	9733000	2165000	2700000	85060000	1194239.1	265645.5	331290	4532056	2557	3	4523
"44_44_1"	9714100	2223000	2870000	84760000	1135578.29	259868.7	335503	4530740	2540	5	4525
"45_45_1"	9697300	2205000	3190000	84140000	1079309.49	245416.5	355047	4488962	2528	6	4526
"46_46_1"	9670700	2350000	3450000	83620000	1025094.2	249100	365700	4472842	2511	6	4526
"47_47_1"	9645900	2229000	3290000	83920000	973271.31	224906.1	331961	4525470	2515	5	4525
"48_48_1"	9617900	2258000	3180000	84100000	924280.19	216993.8	305598	4566916	2521	3	4523
"49_49_1"	9591700	2240000	3350000	83820000	878599.72	205184	306860	4570190	2523	6	4526
