"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"NoScreening"	7980194.69622925	7958275.69314184	90400000	1936548.03885918	1935666.5106456	5049812	"NA"	"reference"
"46_46_1"	7985397.65603865	7960756.42604654	99090700	1936759.52777916	1935758.81822859	6112736.2	"NA"	"11515.026"
"45_65_10"	7991172.98493858	7963415.87349651	114889400	1936912.2653176	1935821.30893601	7201045.88	"NA"	"17415.544"
"45_80_7"	7995521.73998136	7965294.6960179	136922900	1937014.7849932	1935860.07729721	8228863.64	"NA"	"26511.767"
"45_70_5"	7996772.17479491	7965883.44242467	141812000	1937076.92343357	1935883.44830189	8934438.89	"NA"	"30190.198"
"35_75_10"	7995397.94750035	7965311.94777739	132240100	1937114.54812139	1935897.6526713	9412414.64	"NA"	"33649.91"
"35_70_7"	7998109.37168947	7966540.22387195	143708700	1937212.43670584	1935932.18954583	10718888.61	"NA"	"37828.379"
"35_95_6"	8001115.77798222	7967723.09401833	169249000	1937291.86313289	1935958.84980295	11854146.05	"NA"	"42582.389"
"35_70_5"	8001257.08340076	7967887.4747276	163465200	1937337.44746717	1935974.34097869	12569329.69	"NA"	"46167.163"
"35_75_5"	8002141.09556896	7968236.0368117	170733600	1937351.25172767	1935978.74228074	12776848.41	"NA"	"47149.393"
"35_80_5"	8002762.76517559	7968466.52961501	176624800	1937359.54672962	1935981.20041732	12910618.65	"NA"	"54419.368"
"35_75_4"	8004451.21679165	7969171.59742304	190650600	1937427.80515243	1935998.71852673	14478701.45	"NA"	"89512.102"
"35_95_4"	8005564.65301967	7969493.15353705	209874800	1937441.94626298	1936001.6805268	14826497.07	"NA"	"117419.18"
"35_80_3"	8007724.76890687	7970307.86548065	235551400	1937537.6332059	1936020.18406716	17620788.28	"NA"	"151013.868"
"35_95_3"	8008331.01755886	7970422.63180665	251875200	1937544.56558774	1936020.84241638	17869900.65	"NA"	"378389.406"
"35_85_2"	8011736.18014679	7971365.42010061	325797500	1937668.60415374	1936020.89855018	23888526.77	"NA"	"107219290.781"
