"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"NoScreening"	7980194.69622925	7958275.69314184	90400000	1936548.03885918	1935666.5106456	5049812	"reference"	"reference"
"25_25_1"	7980194.69622925	7958157.34214184	102235100	1936548.03885918	1935631.5615953	8544717.03	"SD"	"SD"
"26_26_1"	7980194.69622925	7958156.02314184	102367000	1936548.03885918	1935632.8594416	8414932.4	"SD"	"SD"
"27_27_1"	7980194.69622925	7958156.97314184	102272000	1936548.03885918	1935634.7174296	8229133.6	"SD"	"SD"
"28_28_1"	7980194.69622925	7958157.13614184	102255700	1936548.03885918	1935636.2667549	8074201.07	"SD"	"SD"
"29_29_1"	7980194.69622925	7958157.20914184	102248400	1936548.03885918	1935637.730882	7927788.36	"SD"	"SD"
"30_30_1"	7980194.69622925	7958157.05914184	102263400	1936548.03885918	1935639.058738	7795002.76	"SD"	"SD"
"31_31_1"	7981101.3522108	7958610.35013262	101907100	1936609.00587894	1935670.67268408	7622950.84	"SD"	"SD"
"32_32_1"	7981708.58692278	7958912.4454886	101649300	1936643.45858501	1935688.66787181	7483068.07	"SD"	"SD"
"33_33_1"	7982444.05399149	7959280.18302296	101268900	1936689.22818864	1935712.61250123	7326289.11	"SD"	"SD"
"34_34_1"	7983083.54415389	7959600.60110416	100901600	1936721.54025973	1935729.95740847	7171114.64	"SD"	"SD"
"35_35_1"	7983402.34997171	7959759.80901307	100792100	1936737.82416517	1935739.1777303	7049891.73	"SD"	"SD"
"36_36_1"	7983199.42802268	7959658.86403855	100629500	1936720.7875022	1935731.76200661	6935998.65	"SD"	"SD"
"37_37_1"	7983363.6305503	7959740.47230237	100539800	1936721.21968656	1935732.87319209	6839275.12	"SD"	"SD"
"38_38_1"	7983247.02155918	7959682.73780681	100462800	1936710.31371249	1935728.45198845	6746136.48	"SD"	"SD"
"39_39_1"	7983267.14980428	7959692.13692936	100509300	1936707.25160255	1935727.71319599	6678036.63	"SD"	"SD"
"40_40_1"	7983136.74958085	7959626.48181764	100524800	1936697.3785309	1935723.56034046	6608943.6	"SD"	"SD"
"41_41_1"	7983998.68510094	7960057.52357769	100037400	1936728.89114705	1935740.06780633	6489484.22	"SD"	"SD"
"42_42_1"	7984165.51042701	7960141.29024072	99924000	1936726.23691327	1935739.55462464	6415063.2	"SD"	"SD"
"43_43_1"	7984294.67708451	7960206.43356947	99658000	1936731.77050196	1935743.12591299	6323230.6	"SD"	"SD"
"44_44_1"	7984704.95506273	7960411.00155858	99567100	1936744.36556607	1935750.03582615	6261689.99	"SD"	"SD"
"45_45_1"	7985094.05722573	7960605.81064008	99232300	1936752.22505405	1935754.68488513	6168734.99	"SD"	"SD"
"46_46_1"	7985397.65603865	7960756.42604654	99090700	1936759.52777916	1935758.81822859	6112736.2	"5029.788"	"11515.026"
"47_47_1"	7985064.3329538	7960591.31250412	99084900	1936739.45238889	1935749.60752635	6055608.41	"ED"	"ED"
"48_48_1"	7984761.26914735	7960439.95060089	99155900	1936720.7314297	1935740.86684096	6013787.99	"ED"	"ED"
"49_49_1"	7984795.54297497	7960457.2595147	99001700	1936713.76585683	1935737.93286622	5960833.72	"ED"	"ED"
"50_50_1"	7984456.28132902	7960288.40469172	98844100	1936700.96351115	1935732.16060839	5900737.52	"ED"	"ED"
"51_51_1"	7984080.91536056	7960100.0897075	98962300	1936681.26725477	1935722.76517109	5871255.13	"ED"	"ED"
"52_52_1"	7984003.6285338	7960061.31029411	98977900	1936674.59272989	1935719.90784305	5834719.89	"SD"	"SD"
"53_53_1"	7983656.90567608	7959888.25086526	99098700	1936660.59786495	1935713.42748238	5801730.11	"SD"	"SD"
"54_54_1"	7983970.81377513	7960045.71791478	98648400	1936665.90025964	1935716.52424003	5742126.28	"ED"	"ED"
"55_55_1"	7983913.62770277	7960017.8548786	98549400	1936660.62949489	1935714.35391925	5704234.02	"ED"	"ED"
"56_56_1"	7983648.84763792	7959885.84984618	98392900	1936649.23544309	1935709.05891365	5667615.79	"SD"	"SD"
"57_57_1"	7983662.80919267	7959893.09562355	98370400	1936647.54379969	1935708.61600985	5636100.8	"SD"	"SD"
"58_58_1"	7983930.91643817	7960027.4132463	98097000	1936650.21259221	1935710.30923911	5597549	"ED"	"SD"
"59_59_1"	7984025.01405717	7960074.2990558	97842300	1936649.83310474	1935710.43932278	5560995.26	"5021.73"	"ED"
"60_60_1"	7983832.44735645	7959978.65470544	97911400	1936643.74320074	1935707.76636238	5539461.9	"ED"	"ED"
"61_61_1"	7983670.02095406	7959898.00450425	97687100	1936635.64151153	1935704.05030577	5505624.1	"ED"	"ED"
"62_62_1"	7983319.21708243	7959723.55956843	97795400	1936623.24186555	1935698.19952138	5487690.44	"ED"	"ED"
"63_63_1"	7983401.81156454	7959765.14080949	97693000	1936622.49505879	1935698.1321624	5461126.6	"ED"	"ED"
"64_64_1"	7983111.9304843	7959620.36326937	97603700	1936612.75854995	1935693.53267898	5438806.8	"ED"	"ED"
"65_65_1"	7983046.09475609	7959587.60040526	97467200	1936609.3464802	1935692.08373131	5415447.68	"ED"	"ED"
"66_66_1"	7982843.40066736	7959486.8843609	97519100	1936603.57453267	1935689.46679044	5399768.09	"SD"	"SD"
"67_67_1"	7982999.14718767	7959565.81862105	97364000	1936604.60627577	1935690.25857789	5375772	"ED"	"ED"
"68_68_1"	7982741.44430403	7959438.25917923	97410800	1936598.12867726	1935687.29594104	5358794.96	"ED"	"ED"
"69_69_1"	7982319.32280751	7959228.74643097	97477000	1936588.15324594	1935682.56813098	5345132.5	"SD"	"SD"
"70_70_1"	7982440.48683625	7959288.47244534	97458600	1936589.29848946	1935683.29601934	5331289.94	"ED"	"ED"
"71_71_1"	7982411.4475105	7959276.90478247	97332400	1936587.91213219	1935682.8949139	5310826.12	"ED"	"ED"
"72_72_1"	7982187.94174224	7959169.46489834	97014100	1936582.7633509	1935680.62489866	5287586.18	"ED"	"ED"
"73_73_1"	7981849.21029174	7959000.56217309	97198800	1936575.65151455	1935677.24556108	5279251.92	"ED"	"ED"
"74_74_1"	7981734.31022979	7958945.38214211	97006800	1936573.07692671	1935676.17942436	5260877.6	"ED"	"ED"
"75_75_1"	7981511.26329018	7958835.27667231	97043000	1936568.83561186	1935674.22487994	5251797.4	"ED"	"ED"
"76_76_1"	7981486.31827597	7958823.1461652	96989800	1936567.69238658	1935673.8004593	5239524.1	"ED"	"ED"
